margin,min_top1,scheme,top1_accuracy,top3_accuracy,top5_accuracy,top1_coverage,top3_top5_coverage,notes
0,0,Scheme 3,84.93%,,,99.39%,99.39%,Coarse-grained 3-category classification
0,0,Scheme 5,77.80%,99.31%,,84.93%,84.93%,5-category classification
0,0,Scheme 8,73.24%,98.37%,99.80%,90.07%,90.07%,8-category classification
0,0,Scheme 12,67.12%,96.38%,99.14%,100.00%,100.00%,12-category fine-grained classification
0,40,Scheme 3,85.55%,,,98.16%,99.39%,Top-1 confidence threshold applied
0,40,Scheme 5,85.93%,99.31%,,68.79%,84.93%,Top-1 confidence threshold applied
0,40,Scheme 8,84.95%,98.37%,99.80%,67.95%,90.07%,Top-1 confidence threshold applied
0,40,Scheme 12,85.62%,96.38%,99.14%,64.39%,100.00%,Top-1 confidence threshold applied
20,0,Scheme 3,88.78%,,,90.04%,99.39%,Margin threshold applied
20,0,Scheme 5,86.58%,99.31%,,67.97%,84.93%,Margin threshold applied
20,0,Scheme 8,83.99%,98.37%,99.80%,67.46%,90.07%,Margin threshold applied
20,0,Scheme 12,84.95%,96.38%,99.14%,62.69%,100.00%,Margin threshold applied
20,40,Scheme 3,88.82%,,,89.96%,99.39%,Margin and confidence thresholds applied
20,40,Scheme 5,89.67%,99.31%,,62.31%,84.93%,Margin and confidence thresholds applied
20,40,Scheme 8,89.30%,98.37%,99.80%,60.43%,90.07%,Margin and confidence thresholds applied
20,40,Scheme 12,92.67%,96.38%,99.14%,53.77%,100.00%,Margin and confidence thresholds applied
